,Well_Job_ID,UWI_Number,Operator,Contractor,DSRE,DSR,TMLDR,Discard Ratio,TLML,Down_Loss,Evap_Loss,Total_SCE,Total_Dil,ROP,Temp,Well_Name,Well_Coord_Lon,Well_Coord_Lat,flowline_Shakers,DOW,IntLength,AMW,Drilling_Hours,Haul_OFF,Base_Oil,Water,Weight_Material,Chemicals,Reserve_Adds,TD_Date,Hole_Size,Dilution_Ratio,Dil_Per_Hole_Vol_Ratio,Solids_Generated,Average_LGS%,IsReviewed,Basin,Latitude,Longitude,DI Basin,AAPG Geologic Province,MD Depth,API Number,County Code,State Code
0,40,,Continental Resources,H&P 545,0.865085371,892.755937,1.283570047,2.287496633,4392.9,270.0,309.1,2042.1762,4392.9,37.5137407,152.6521739,Betty Lou 1-5-32XH,-98.39625278,35.88545556,Derrick Hyperpool,25,11603.0,14.975,309.3,2934.932137,1031.0,732.6,697.9,258.5,1672.9,13-08-2017,8.75,1.331912496,3.001769708,906.132137,0.06412,1,,35.88549,-98.39655,ANADARKO,ANADARKO BASIN,20405.0,35011238190000,11.0,35.0
1,207,,EQT Corporation,Pioneer 72 ,0.79374112,940.7507318,1.0,1.52884541,2352.53,0.0,0.0,1438.262438,2352.53,125.5671902,107.6666667,596169 (12H),,,Brandt King Cobra,6,14390.0,12.9,114.6,2379.01317,965.05,220.0,297.45,139.37,730.66,15-12-2018,8.5,1.12765929,1.52936892,1060.48317,0.100883333,1,,,,,,,,,
2,208,,EQT Corporation,Pioneer 72 ,0.803776585,916.1222314,1.0,1.915634115,2491.58,0.0,0.0,1754.955,2491.58,102.2539683,97.5,596143 (6H),,,Derrick 806,6,12884.0,13.0,126.0,2671.077231,1222.48,157.0,519.64,152.46,440.0,31-12-2018,8.5,1.169021428,2.160701403,949.4972314,0.106416667,1,,,,,,,,,
3,209,,EQT Corporation,Pioneer 72 ,0.82426411,1075.415434,1.0,1.849668638,2717.14,0.0,0.0,1989.1622,2717.14,126.5822785,103.6,596142 (4H),,,Derrick 806,5,15000.0,13.0,118.5,3064.577634,1016.24,234.0,453.15,158.75,855.0,2019-10-01 00:00:00,8.5,0.936142865,1.684527416,1105.437634,0.10576,1,,,,,,,,,
4,211,,EQT Corporation,Pioneer 72 ,0.832926183,1126.678543,1.0,1.170478135,2302.76,0.0,0.0,1318.7526,2302.76,149.2716535,102.3333333,596141 (2H),,,Derrick 806,6,15166.0,13.075,101.6,2445.431143,603.32,136.0,346.41,167.03,1050.0,24-01-2019,8.5,0.949958317,1.120866372,1117.671143,0.1048,1,,,,,,,,,
5,269,,Continental Resources,Precision 581,0.777731845,545.9424044,1.0326567,2.366973127,1525.3,0.0,42.2,1292.231,1525.3,51.61205767,122.0909091,Dicksion W3-21H,-97.61650278,34.71131667,Brandt King Cobra,12,7876.0,9.9,152.6,1838.173404,1063.9,58.6,96.6,132.2,174.0,2017-07-11 00:00:00,8.75,1.045710867,2.196973549,615.0734044,0.057833333,1,,34.711386,-97.616717,ANADARKO,SOUTH OKLAHOMA FOLDED BELT,7876.0,35049251570000,49.0,35.0
6,270,,Continental Resources,Precision 581,0.77122363,588.6446456,1.049037418,3.04861008,2026.5,0.0,88.0,1794.548,2026.5,53.10126582,124.0,Dicksion W4-21H,-97.61640278,34.71131667,Brandt King Cobra,11,7551.0,10.125,142.2,2383.192646,1365.9,101.0,66.2,219.4,274.0,26-11-2017,8.75,0.97656903,2.971887157,589.6926456,0.082181818,1,,34.71137,-97.616609,ANADARKO,SOUTH OKLAHOMA FOLDED BELT,7551.0,35049251580000,49.0,35.0
7,367,,EQT Corporation,Pioneer 72 ,0.83852677,1092.232624,1.0,1.4060784,2569.8,0.0,0.0,1535.7647,2569.8,140880.0,97.42857143,596170 (10H),,,Brandt King Cobra,7,14088.0,13.325,0.1,2627.997324,810.6,146.0,308.4,125.8,1179.0,2018-03-12 00:00:00,8.75,0.90560748,1.264136869,1100.197324,0.093328571,1,,,,,,,,,
8,368,,EQT Corporation,Pioneer 72 ,0.845070857,1066.729356,1.0,1.434815299,2456.8,0.0,0.0,1530.5596,2456.8,137460.0,103.25,596171 (8H),,,Brandt King Cobra,8,13746.0,13.125,0.1,2597.288956,828.9,140.0,409.7,129.2,949.0,23-11-2018,8.75,0.985129883,1.404578959,1073.488956,0.1047125,1,,,,,,,,,
9,369,,EQT Corporation,Pioneer 72 ,0.848792936,1110.731759,1.0,1.368283465,3020.9,0.0,0.0,1519.7959,3020.9,143240.0,99.0,596172 (6H),,,Brandt King Cobra,6,14324.0,12.75,0.1,2630.527659,782.3,242.0,321.0,397.6,1278.0,2018-12-11 00:00:00,8.75,1.146798725,1.558069824,1118.627659,0.095216667,1,,,,,,,,,
